A104 002 KOMOG 55.140833 33.066667
A104 003 RUBAG 55.342778 33.997222
A104 004 GUBON 55.402500 34.278611
A104 005 FK 55.555278 35.021944
A105 001 NELTI 54.328333 64.275000
A105 002 GITNA 52.749722 65.421667
A105 003 ARK 50.318056 67.021944
A106 001 PABRI 45.248611 70.710833
A106 002 ALAKO 44.332778 73.984167
A106 003 BOBRO 44.113333 74.707778
A106 004 BEKRO 43.813889 75.664444
A106 005 USUGA 43.600000 76.326111
A107 001 URASA 44.146111 56.000000
A107 002 TARAM 43.843333 56.701667
A107 003 IPNAR 42.743333 59.096667
A107 004 NAKUK 42.488333 59.623333
A107 005 DIDIR 42.041667 60.136667
A107 006 URG 41.578917 60.654972
A107 007 IVLUS 41.190000 61.523333
A107 008 LURIB 40.698333 62.586667
A107 009 KEMAB 40.188333 63.648333
A107 010 BUPOR 39.775000 64.483333
A107 011 TUDLI 39.310000 65.195000
A107 012 YU 39.050972 65.584667
A107 013 INDUD 38.618333 66.238333
A107 014 REBNA 38.593333 66.855000
A107 015 OKDOR 38.575000 67.228333
A107 016 ROBRA 38.560000 67.531667
A107 017 PINUD 38.553333 67.691667
A107 018 SOPNO 38.543333 68.070000
A107 019 PR 38.533333 68.401667
A107 020 DNB 38.541667 68.811667
A107 021 NAVOX 38.083333 69.333333
A107 022 KYLOB 37.988333 69.806667
A108 001 URL 51.148667 51.543778
A108 002 EDAKO 50.688889 52.419444
A108 003 GERLI 49.892778 53.881667
A108 004 AGMAN 49.161667 55.155556
A108 005 KURUL 48.849722 55.680833
A108 006 UGLUK 48.690278 55.945000
A108 007 LOGTO 48.534444 56.200556
A108 008 ABULU 48.027500 55.925556
A108 009 ODPUT 47.501111 55.646111
A108 010 PEMOL 46.811389 55.288889
A108 011 NESDO 45.823889 54.794167
A108 012 AGNIM 45.539167 54.655000
A108 013 BODSI 44.842778 54.320556
A108 014 NUMGA 44.205000 54.059167
A108 015 RINIT 43.884722 53.930278
A108 016 BAPER 43.503056 53.778333
A108 017 TIROM 42.242778 53.288889
A109 001 ARK 50.318056 67.021944
A109 002 LATKO 52.418889 66.740833
A109 003 BAVAG 53.305278 66.876389
A109 004 BEBLU 54.775000 66.841667
A11 001 DN 51.097508 -100.060853
A11 002 QD 53.978519 -101.080881
A11 003 FO 54.674881 -101.669569
A11 004 YL 56.830833 -101.070278
A110 001 KTU 53.350750 69.616972
A110 002 ADLON 53.024722 70.679722
A110 003 AMOLA 52.648056 71.934444
A110 004 ABELI 51.590000 75.220000
A110 005 APTOK 50.509722 75.161111
A110 006 BODNU 50.396111 75.155000
A110 007 EKTAB 49.765278 75.121667
A110 008 DIMUT 49.307778 75.098333
A110 009 IRGIT 48.872222 75.076667
A110 010 TOKNA 48.423611 75.054444
A110 011 DONUR 47.506111 75.010556
A110 012 BLH 46.883169 74.983881
A110 013 LASDO 46.411944 75.947500
A110 014 EROMI 46.209444 76.354722
A110 015 UDEKA 45.881111 77.001667
A110 016 AKIRA 45.723056 77.308056
A110 017 KONAT 45.465000 77.801389
A110 018 TDK 45.106194 78.429889
A110 019 BESIR 44.316944 78.205556
A110 020 DOTAL 44.129167 78.151111
A111 001 BLH 46.883169 74.983881
A111 002 ESADO 47.101944 76.010278
A111 003 MADEV 47.315833 77.057778
A111 004 IBDAS 47.570000 78.408889
A111 005 AGZ 47.931111 80.449722
A111 006 BOLNO 47.373889 81.257778
A111 007 UV 47.091433 81.656269
A112 001 AZABI 44.740000 49.500000
A112 002 ATNUR 44.766389 50.163333
A112 003 PIRIM 44.802222 51.294722
A112 004 AGILA 44.816944 51.906111
A112 005 ALOTO 44.836111 53.114722
A112 006 BODSI 44.842778 54.320556
A112 007 AGNIM 45.539167 54.655000
A112 008 NESDO 45.823889 54.794167
A112 009 PEMOL 46.811389 55.288889
A112 010 ODPUT 47.501111 55.646111
A112 011 ABULU 48.027500 55.925556
A112 012 LOGTO 48.534444 56.200556
A112 013 OGATO 49.232222 56.588611
A112 014 TIKTO 49.668333 56.837222
