2  54.42361111 -117.74111111 000000  280 050    0.0 A2   SIMONETTE NDB
2  57.54500000 -119.11138889 000000  317 050    0.0 A5   CHINCHAGA NDB
2 -17.35638889 -145.50911111 000058  332 050    0.0 AA   ANAA NDB
2 -09.08333333  124.90666667 000000  300 050    0.0 AA   ATAMBUA NDB
2  00.50000000  173.85000000 000000  396 050    0.0 AA   ABEMAMA NDB
2  05.67618333 -000.13780833 000126  409 025    0.0 AA   ACCRA NDB
2  33.53327778 -082.61438889 000515  341 025    0.0 AA   CEDAR THOMSON NDB
2  47.00905278 -096.81518333 000891  365 025    0.0 AA   KENIE FARGO NDB
2  68.72314722 -052.78482500 000000  336 010    0.0 AA   AASIAAT NDB
2  40.16011667 -089.33801667 000591  329 025    0.0 AAA  ABRAHAM LINCOLN NDB
2  29.72331389 -085.02806389 000019  349 025    0.0 AAF  APALACHICOLA NDB
2 -21.81301111 -048.13947778 000000  205 050    0.0 AAQ  ARARAQUARA NDB
2  08.99737222  038.86258333 000000  333 050    0.0 AB   ADDIS ABEBA NDB
2  13.84527778  020.84555556 000000  350 050    0.0 AB   ABECHE NDB
2  32.29886389 -099.67422778 001895  353 025    0.0 AB   TOMHI ABILENE NDB
2  43.91255556  002.06450000 000000  323 010    0.0 AB   ALBI NDB
2  45.38610556 -098.32851111 001298  203 025    0.0 AB   RENEY ABERDEEN NDB
2  53.70141667  091.35519444 000000  360 025    0.0 AB   ABAKAN NDB
2  59.95041667  013.58583333 000000  393 010    0.0 AB   HAGFORS NDB
2 -34.95222222  117.81055556 000365  240 050    0.0 ABA  ALBANY NDB
2  30.37047222  048.21991667 000000  210 010    0.0 ABD  ABADAN NDB
2  33.33528611  036.42818889 000000  264 050    0.0 ABD  ABYAD DAMASCUS NDB
2  32.58549444 -095.11311944 000424  404 025    0.0 ABG  AMBASSADOR BIG SANDY NDB
2  25.87800000  055.02280556 000000  285 050    0.0 ABM  ABUMUSA NDB
2  44.05597222  008.22100000 000060  420 050    0.0 ABN  ALBENGA NDB
2  50.99377500  012.52103889 000000  330 025    0.0 ABU  ALTENBURG NDB
2  49.97625000  002.80941667 000000  321 050    0.0 ABY  ALBERT BRAY NDB
2  10.93916667  107.18833333 000066  320 050    0.0 AC   ANLOC NDB
2  43.86094722 -066.04370556 000120  230 025    0.0 AC   PLEASANT LAKE YARMOUTH NDB
2  59.64133333 -151.50027500 000000  277 050    0.0 ACE  KACHEMAK HOMER NDB
2  32.11210833 -084.18685278 000000  242 025    0.0 ACJ  SOUTHER AMERICUS NDB
2 -16.24347222 -073.57872222 000000  202 050    0.0 ACO  ATICO NDB
2 -00.34916667  102.33547222 000131  280 050    0.0 AD   RENGAT NDB
2  12.87027778  045.00555556 000000  361 200    0.0 AD   ADEN NDB
2  43.45477778  039.96077778 000089  365 025    0.0 AD   SOCHI NDB
2  43.75441667  020.66427778 000650  387 010    0.0 AD   KRALJEVO NDB
2  55.98633333  037.50000000 000000  700 025    0.0 AD   SHEREMETYEVO MOSCOW NDB
2  61.82956667  006.11593889 000000  288 010    0.0 AD   ANDA NDB
2 -22.82293056 -042.09649167 000146  345 050    0.0 ADA  ALDEIA SAO PEDRO DA- NDB
2  41.86998056 -084.07748056 000862  278 025    0.0 ADG  ADRIAN NDB
2  51.87187778 -176.67598889 000329  530 050    0.0 ADK  MOUNT MOFFETT NDB
2  36.97088889  035.26161111 000000  395 010    0.0 ADN  ADANA NDB
2 -47.73333333 -065.90944444 000000  210 050    0.0 ADO  PUERTO DESEADO NDB
2  78.17680833  016.01250833 000000  326 050    0.0 ADV  ADVENT SVALBARD NDB
2  39.54944444  002.39586111 000000  384 025    0.0 ADX  ANDRAITX NDB
2  35.21740000 -106.71280000 005455  351 025    0.0 AE   DUDLE ALBUQUERQUE NDB
2  36.61451944 -078.05316667 000271  373 050    0.0 AEA  JONES NDB
2  62.94926944 -141.90978056 001715  390 050    0.0 AES  NABESNA NORTHWAY NDB
2  56.96391667 -133.91188889 000170  223 025    0.0 AFE  KAKE NDB
2  40.60536111 -095.86095556 001160  347 025    0.0 AFK  NEBRASKA CITY NDB
2  05.40833333 -002.91666667 000000  393 050    0.0 AFO  AFIENOU NDB
2 -22.86700000 -043.36683333 000000  270 050    0.0 AFS  AFONSOS RIO DE JANEIRO NDB
2  01.42333333  103.82333333 000000  325 050    0.0 AG   SEMBAWANG SINGAPORE NDB
2  27.15019444  077.96530556 000000  250 200    0.0 AG   AGRA NDB
2  33.28688611 -081.94685278 000301  233 025    0.0 AG   BUSHE AUGUSTA NDB
2  44.13944444  039.02666667 000000  381 050    0.0 AG   AGOY NDB
2  44.15069444  000.67372222 000000  400 010    0.0 AG   AGEN NDB
2  48.42429722  010.93309444 000000  318 025    0.0 AGB  AUGSBURG NDB
2 -10.36666667  056.60000000 000000  429 200    0.0 AGG  AGALEGA NDB
2  45.71072222  000.42688889 000456  404 010    0.0 AGO  ANGOULEME NDB
2 -19.82277778 -063.96194444 000000  305 050    0.0 AGU  MONTEAGUDO NDB
2  43.06339167 -098.29316944 001463  392 025    0.0 AGZ  WAGNER NDB
