ACFT_ID,Flap_ID,R,Start CAS (kt),Comment
A300-622R,3_D,0.102372,155,Placard - 20kt
A300-622R,FULL_D,0.125036,133.5,
A300B4-203,ZERO,0.063491,250,
A300B4-203,1,0.090223,158.5,
A300B4-203,D-15,0.10607,148.5,
A300B4-203,D-25,0.125568,140,
A310-304,ZERO,0.054935,250,Clean
A310-304,1,0.068197,190,Placard - 20kt
A310-304,2_U,0.072778,175,Placard - 20kt
A310-304,3_D,0.106084,160,Placard - 20kt
A310-304,FULL_D,0.129438,134.6,
A319-131,ZERO_A,0.056446,250,Clean
A319-131,1_A,0.06317,195,Placard - 20kt
A319-131,2_U,0.071826,180,Placard - 20kt
A319-131,3_D,0.098121,165,Placard - 20kt
A319-131,FULL_D,0.124534,125.3,
A320-211,ZERO,0.056281,250,Clean
A320-211,1_A,0.061662,195,Placard - 20kt
A320-211,2_U,0.067463,180,Placard - 20kt
A320-211,3_D,0.101204,165,Placard - 20kt
A320-211,FULL_D,0.11586,132.6,
A320-232,ZERO,0.05332,250,Clean
A320-232,1_A,0.059086,195,Placard - 20kt
A320-232,2_U,0.06679,180,Placard - 20kt
A320-232,3_D,0.100263,165,Placard - 20kt
A320-232,FULL_D,0.121141,133.8,
A321-232,ZERO_A,0.057183,250,Clean
A321-232,1_A,0.064258,195,Placard - 20kt
A321-232,2_U,0.074849,180,Placard - 20kt
A321-232,3_D,0.112676,165,Placard - 20kt
A321-232,FULL_D,0.119073,138.5,
A330-301,ZERO_A,0.047685,250,Clean
A330-301,1_A,0.057783,220,Placard - 20kt
A330-301,2_U,0.064098,176,Placard - 20kt
A330-301,3_D,0.092737,166,Placard - 20kt
A330-301,FULL_D,0.100779,130.9,
A330-343,ZERO_A,0.046224,250,Clean
A330-343,1_A,0.055464,220,Placard - 20kt
A330-343,2_U,0.063042,176,Placard - 20kt
A330-343,3_D,0.092555,166,Placard - 20kt
A330-343,FULL_D,0.10202,135.5,
A340-211,ZERO_A,0.051221,250,Clean
A340-211,1_A,0.063657,195,Placard - 20kt
A340-211,2_U,0.071673,185,Placard - 20kt
A340-211,3_D,0.101734,176,Placard - 20kt
A340-211,FULL_D,0.108554,132.1,
A340-642,ZERO_A,0.051608,250,Clean
A340-642,1_A,0.054416,195,Placard - 20kt
A340-642,2_U,0.067996,185,Placard - 20kt
A340-642,3_D,0.100473,176,Placard - 20kt
A340-642,FULL_D,0.105616,147.8,
A350-941,A_ZERO,0.048841,250,
A350-941,A_1_U,0.056319,188.6,
A350-941,A_2_D,0.081415,161.9,
A350-941,A_3_D,0.092557,155.2,
A350-941,A_FULL_D,0.106058,137.5,
A380-841,ZERO_A,0.050279,250,Clean
A380-841,A_1+F,0.055657,202,Placard - 20kt
A380-841,A_2_U,0.064109,200,Placard - 20kt
A380-841,A_3_D,0.101662,176,Placard - 20kt
A380-841,A_FULL,0.107331,136.3,
A380-861,ZERO_A,0.048776,250,Clean
A380-861,A_1+F,0.058557,202,Placard - 20kt
A380-861,A_2_U,0.06558,200,Placard - 20kt
A380-861,A_3_D,0.101738,176,Placard - 20kt
A380-861,A_FULL,0.108118,136.3,
ATR72,ZERO-A,0.09027,238,
ATR72,15-A-G,0.0803,158.3,
ATR72,33-A-G,0.105,139,
BAC111,ZERO,0.065,250,
BAC111,INT1,0.07359,153.3,
BAC111,U-INT,0.106398,143.3,
BAC111,D-45,0.139207,133.3,
BAE146,ZERO,0.083096,250,
BAE146,18,0.13241,180,
BAE146,D-24,0.138371,166.5,
BAE146,D-33,0.153186,123,
BAE300,ZERO,0.081866,250,
BAE300,18,0.1279,180,
BAE300,D-24,0.134808,167,
BAE300,D-33,0.149009,124.4,
BEC58P,ZERO,0.125381,130,
BEC58P,TO,0.1377,119,
BEC58P,D-15,0.14885,109,
BEC58P,D-30,0.16,99,
C130,ZERO,0.08,200,
C130,U-INTR,0.09445,145.8,
C130,D-35,0.108899,135.8,
C130E,ZERO,0.08,200,
C130E,U-INTR,0.09445,143.3,
C130E,D-35,0.108899,133.3,
CIT3,ZERO,0.07,250,
CIT3,10,0.092263,139.5,
CIT3,D-INTR,0.130842,129.5,
CIT3,D-40,0.147159,119.5,
CL600,ZERO,0.07,250,
CL600,10,0.079246,152.1,
CL600,D-INTR,0.128747,142.1,
CL600,D-45,0.169002,132.1,
CL601,ZERO,0.07,250,
CL601,10,0.075805,158.5,
CL601,D-INTR,0.122639,148.5,
CL601,D-45,0.163669,138.5,
CNA172,ZERO-D,0.096,100,
CNA172,10-D,0.0994,80,
CNA182,ZERO-A,0.127,110,
CNA182,F10APP,0.122,70,
CNA182,F30APP,0.151,65,
CNA206,ZERO_C,0.09563,250,Clean
CNA206,10_D,0.105632,120,Placard - 20kt
CNA206,40_D,0.169084,80,Placard - 20kt
CNA208,ZERO-A,0.089802,140,
CNA208,F30APP,0.099468,100,
CNA20T,ZERO_C,0.101535,250,Clean
CNA20T,10_D,0.109615,120,Placard - 20kt
CNA20T,40_D,0.211577,80,Placard - 20kt
CNA441,ZERO,0.096518,160,
CNA441,TO,0.120222,113.9,
CNA441,D-INTR,0.141579,103.9,
CNA441,D-L,0.162936,93.9,
CNA500,ZERO,0.07,250,
CNA500,1,0.080282,131.3,
CNA500,D-INTR,0.113809,121.3,
CNA500,D-35,0.147335,111.3,
CNA510,ZERO_C,0.088914,250,
CNA510,A_15,0.088506,91.1,
CNA510,A_35,0.126185,85.1,
CNA525C,ZERO_C,0.085,250,
CNA525C,A_15,0.106795,119.7,
CNA525C,A_35,0.126615,111.8,
CNA55B,ZERO_C,0.10833,250,
CNA55B,A_15,0.118086,111.8,
CNA55B,A_35,0.200794,105.3,
CNA560E,ZERO,0.122635,250,
CNA560E,15 U,0.099403,107.5,
CNA560E,35 D,0.130841,101.8,
CNA560U,ZERO,0.07,250,
CNA560U,7,0.12699,120,
CNA560U,D 15,0.088125,110,
CNA560U,D 35,0.132402,101.8,
CNA560XL,ZERO,0.074551,250,
CNA560XL,D 15U,0.08555,122,
CNA560XL,D 35D,0.126192,112,
CNA680,ZERO,0.105329,250,
CNA680,15 GU,0.093247,112,
CNA680,35 GD,0.146827,105,
CNA750,ZERO,0.096475,250,
CNA750,15_GU,0.146147,127.4,
CNA750,35_GD,0.250382,120.9,
CONCRD,CL1,0.13294,250,
CONCRD,ZERO,0.13294,194,
CONCRD,U-L,0.183067,184,
CONCRD,D-L,0.205927,164,
CRJ9-ER,ZERO,0.0655,250,
CRJ9-ER,20,0.0976,170,
CRJ9-ER,U-45,0.1504,160,
CRJ9-ER,D-45,0.1551,140,
CRJ9-LR,ZERO,0.0655,250,
CRJ9-LR,20,0.0976,170,
CRJ9-LR,U-45,0.1504,160,
CRJ9-LR,D-45,0.1551,141,
CVR580,ZERO,0.075,200,
CVR580,INTR,0.102858,146.3,
CVR580,D-28,0.118937,112.4,
CVR580,D-40,0.124222,106.3,
DC1010,ZERO,0.057149,250,
DC1010,INT,0.068522,163.7,
DC1010,U-35,0.127457,153.7,
DC1010,D-35,0.132645,143.7,
DC1030,ZERO,0.06519,250,
DC1030,INT2,0.07307,172.6,
DC1030,U-20,0.104,162.6,
DC1030,D-35,0.13,152.6,
DC1040,ZERO,0.060025,250,
DC1040,5,0.082503,173.5,
DC1040,U-35,0.114222,163.5,
DC1040,D-35,0.121114,153.5,
DC3,ZERO,0.1115,140,
DC3,TO,0.123784,109,
DC3,U-INT,0.133361,99,
DC3,D-45,0.155222,88.9,
DC6,ZERO,0.078,160,
DC6,TO,0.08204,106.1,
DC6,D-INTR,0.10199,96.1,
DC6,D-L,0.125979,86.1,
DC850,ZERO,0.058535,250,
DC850,INT,0.074401,165.6,
DC850,D-35,0.129965,152.7,
